Object_ID,Order,Shape__,Eruptions,Years BP,Reference,Epoch,PDC,TF,Magma_volu,Phreatomag,Axis,Major_elem,Trace_elem,X ,Y,Lat,Long
1,1,Point,Bellavista,15000.00,"Smith et al., 2011",1,3.9,0,0.1,mainly pdc interbedded with pumice lenses,x,L, ,421679,4517450,40.804322,14.071479
2,2,Point,Mofete,14550.00,Extrapolated,1,2.1,0,0.1,mainly pdc interbedded with pumice lenses,x,L, ,421804,4519587,40.823574,14.071685
3,3,Point,Gauro,14100.00,"Smith et al., 2011",1,16.1,0,0.5,mainly pdc,x,L, ,424667,4522662,40.851548,14.106269
4,4,Point,Santa Teresa,13700.00,Extrapolated,1,0.9,0,0.1,mainly pdc interbedded with pumice lenses,x,L, ,430577,4518482,40.814418,14.176842
5,5,Point,La Pietra,13300.00,Extrapolated,1,2.6,0,0.1,mainly pdc interbedded with pumice lenses,x,L, ,428419,4518871,40.820783,14.121279
6,6,Point,Torre Cappella,12900.00,Extrapolated,1,1,0,0.1,mainly pdc interbedded with pumice lenses,x,L, ,420622,4518211,40.811075,14.058853
7,7,Point,Archiaverno,12650.00,"Smith et al., 2011",1,0,0,0.1,mainly pdc,x,L, ,421967,4521831,40.84381,14.074345
8,8,Point,Minopoli 1,12400.00,Extrapolated,1,0,0,0.1,coarse scoria fall, ,L, ,432400,4522670,40.852294,14.198001
9,9,Point,Soccavo 1,12200.00,Extrapolated,1,190,0,0.5,pdc interbedded with pumice lenses; upper massive ash,x,M,NNE,432960,4521440,40.841261,14.204777
10,10,Point,Pomici Principali (PP),12000.00,"Smith et al., 2011",1,129.2,1.36,0.85,alt. pumice & ash fall with pdc,x,H,NNE,428698,4522284,40.848504,14.15413
11,11,Point,Paleopisani 1,11750.00,Extrapolated,1,0,86.18,0.1,basal seq. pdc; upper seq. scoria fall,x,L,NE,428012,4523708,40.86127,14.145828
12,12,Point,Paleopisani 2,11650.00,Extrapolated,1,37.7,114.93,0.2,alt. pumice & ash fall, ,M,ENE,428491,4523570,40.860069,14.151527
13,13,Point,Soccavo 2,11650.00,Extrapolated,1,75.8,0,0.1,mainly pdc,x,L,NE,432291,4521946,40.845764,14.196787
14,14,Point,Soccavo 3,11550.00,Extrapolated,1,147.5,0,0.1,mainly pdc,x,L,NNE,431352,4521810,40.844461,14.185664
15,15,Point,Soccavo 4,11450.00,Extrapolated,1,180.2,0,0.2,basal seq. pumice fall; upper seq. mainly pdc,x,M,E,432449,4522067,40.846867,14.198648
16,16,Point,Paleo San Martino,11350.00,Extrapolated,1,37.3,0,0.1,coarse scoria & minor ash fall,x,L,NE,427131,4524046,40.864237,14.135336
17,17,Point,Minopoli 2,11250.00,Extrapolated,1,113.6,111.76,0.1,coarse scoria & minor ash fall, ,L,ENE,432344,4522681,40.852389,14.197336
18,18,Point,Soccavo 5,11150.00,Extrapolated,1,66.2,0,0.1,ash fall,x,L,NE,432440,4521939,40.845713,14.198555
19,19,Point,Pisani 1,11050.00,Extrapolated,1,0,58.83,0.2,coarse scoria & minor ash fall, ,M,NE,428260,4523970,40.863652,14.14874
20,20,Point,Pisani 2,10950.00,Extrapolated,1,21.1,132.8,0.2,scoria & minor ash fall, ,M,ENE,427780,4524010,40.86397,14.14304
21,21,Point,Fondo Riccio,10850.00,Extrapolated,1,0,0,0.001,scoria fall layers, ,L, ,423360,4523013,40.854588,14.090722
22,22,Point,Concola,10750.00,Extrapolated,1,0,0,0.001,scoria fall layers, ,L, ,422786,4522799,40.852607,14.083939
23,23,Point,Montagna Spaccata,10700.00,Di Girolamo et al 1984,1,3,25.56,0.02,scoria & minor ash fall, ,L, ,425920,4524130,40.864885,14.120958
24,24,Point,Pignatiello 1,10675.00,Extrapolated,1,0,0,0.1,ash & pumice fall,x,L,?,431049,4520780,40.835157,14.182184
25,25,Point,Pisani 3,10650.00,"Smith et al., 2011",1,0,38.32,0.1,ash fall,x,L, ,428155,4523764,40.861787,14.147518
